channel_name,channel_id,category,is_private,is_archived,member_count,has_messages,days_since_last_message,last_message_date,created_date,days_old,pinned_count,warned_at,archive_scheduled_for,saved_by_reaction,warning_status,reactions_found,topic,purpose
announcements,C04QVKV08,active,False,False,80063,True,0,2025-10-09T07:28:44.874829,2015-05-12T17:15:18,3803,0,,,False,,,MacAdmins.org admins will post announcements about this Slack team in this channel.,MacAdmins.org admins will post announcements about this Slack team in this channel.
jamfnation,C04QVP86E,active,False,False,20609,True,0,2025-10-09T17:12:46.661199,2015-05-12T17:21:40,3802,0,,,False,,,Current version: Jamf Pro 11.21.1 <https://community.jamf.com/release-announcements-177/jamf-pro-11-21-1-now-available-56517>,"General discussion for Jamf products, with a focus on Jamf Pro. Browse the channel viewer for other <#C0CHFSAB1|>- related channels. :jamf:"
munki,C04QVPFGU,active,False,False,5207,True,0,2025-10-09T13:49:06.107759,2015-05-12T17:22:01,3802,0,,,False,,,New to Munki? Read this first <https://github.com/munki/munki/wiki/FAQ> then this: <https://github.com/munki/munki/wiki/Troubleshooting>. Searching the wiki? <https://github.com/munki/munki/wiki#searching-the-wiki>,All things munki
cascadia,C0533K6HC,active,False,False,494,True,0,2025-10-08T19:45:41.677309,2015-05-29T03:03:43,3786,0,,,False,,,"Rain &amp; coffee &amp; salmon &amp; weed &amp; Macs and sometimes Canada! Sponsored by The Big Dark.
Zoom Happy Hour, Thursdays, 4 PM until the gods know when
<https://zoom.us/j/99224623705?pwd=SFNWR0U2Q3k4L0h5Tnp4L1dZcVNVQT09>","For Cascadian MacAdmins. This can include WA, OR, ID, BC, maaaaybe far North CA and heck we'll even let you AK folks in"
filewave,C053TS2M7,active,False,False,617,True,8,2025-09-30T22:39:44.499589,2015-05-29T07:33:52,3786,0,,,False,,,"Discuss all things FileWave.  Share development ideas, and see what the FileWave community is up to.  Latest version: 16.1.1","Discuss all things FileWave.  Share development ideas, and see what the FileWave community is up to.  Latest version:  16.1.1"
workspaceone,C053TS6JT,active,False,False,2744,True,0,2025-10-09T16:44:08.727849,2015-05-29T07:34:08,3786,0,,,False,,,"Community knowledge sharing and product feedback!  <https://community.omnissa.com> | Samples:  <https://github.com/euc-oss/euc-samples> | New support portal: <https://customerconnect.omnissa.com/dashboard>
 | TechZone: <https://techzone.omnissa.com>","Community knowledge sharing and product feedback!   If it’s a production outage, please contact Support and/or your TAM!"
blog-feed,C055M2KJ0,active,False,False,1372,True,0,2025-10-09T17:09:36.238669,2015-06-03T19:27:36,3780,0,,,False,,,Use `/feed &lt;link&gt;` to add a blog to this channel. Join <#C4ENKD38A|> to discuss a post.,This channel is intended to act as an RSS feed for Mac Admin blogs.
puppies,C04RJV6Q7,very_old,False,False,60,True,407,2024-08-27T18:05:05.440429,2015-05-12T18:54:18,3802,0,,,False,,,For pictures of dogs. Because dogs.,
lanrev,C050QSWUE,very_old,False,False,182,True,407,2024-08-27T18:05:06.157179,2015-05-23T20:44:36,3791,0,,,False,,,Get help with LANrev from Ivanti <https://forums.ivanti.com/s/article/LANrev-Downloads> | Current version 7.4.5 | EOL 9/30/19,Get help with LANrev from HEAT Software
full-disclosure,C055346U8,very_old,False,False,181,True,386,2024-09-18T14:55:34.034979,2015-06-02T21:16:02,3781,0,,,False,,,,"A public, vendor-neutral forum for detailed discussion of vulnerabilities and exploitation techniques, as well as tools, papers, news, and events of interest to the community. The relaxed atmosphere of this quirky list provides some comic relief and"
